Layer,Head,Prompt,Input_Type,Comment,Pattern_Categories
7,1,17,3,different pattern for if-statement,"['different pattern', 'pattern for', 'for if-statement']"
7,1,17,3,now same L-pattern for this fact as for other non-relevant facts as now it is also not relevant,"['other non-relevant', 'also not', 'facts as', 'pattern for', 'fact as', 'same L-pattern', 'this fact', 'now same', 'is also', 'now it', 'not relevant', 'as now', 'it is', 'for other', 'for this', 'as for', 'relevant fact', 'non-relevant facts', 'L-pattern for']"
7,1,17,3,notice this attention to the query (and relevant fact in the theory) by the last dot of the theory however has stayed the same (but now shifted to relevant fact in theory),"['the last', 'theory however', 'this attention', 'fact in', 'last dot', 'to relevant', 'has stayed', 'of the', '(but now', 'the theory', 'dot of', 'query (and', 'to the', 'attention to', 'by the', 'stayed the', 'now shifted', 'same (but', 'theory) by', '(and relevant', 'however has', 'the same', 'the theory)', 'in the', 'relevant fact', 'in theory', 'in theory)', 'the query', 'notice this', 'shifted to']"
7,4,17,3,again if-statement seeping into query region,"['if-statement seeping', 'query region', 'to query', 'seeping into', 'again if-statement', 'in if-statement', 'into query']"
7,4,17,3,more attention (noise) between relevant fact in theory and query,"['fact in', '(noise) between', 'more attention', 'between relevant', 'in the', 'and query', 'relevant fact', 'attention (noise)', 'in theory', 'theory and']"
7,5,17,3,attends again as now not relevant anymore,"['attends again', 'now not', 'not relevant', 'as now', 'again as', 'relevant anymore']"
7,5,17,3,no attention anymore in relevant part,"['in relevant', 'relevant part', 'attention anymore', 'anymore in', 'no attention']"
7,7,17,3,query attending to 'is' of relevant fact in theory,"['of relevant', 'fact in', ""to 'is'"", ""'is' of"", 'query attending', 'query attend', 'attending to', 'in the', 'relevant fact', 'in theory']"
7,7,17,3,relevant tokens and cls tokens attending to relevant premise,"['cls tokens', 'tokens at', 'to relevant', 'and cls', 'relevant premise', 'tokens attending', 'relevant tokens', 'tokens and', 'tokens attend', 'attending to']"
7,7,17,3,leakage at relevant fact into query,"['fact in', 'to query', 'at relevant', 'fact into', 'leakage at', 'into query', 'relevant fact']"
7,7,17,3,leakage at relevant if-statement into query,"['to query', 'at relevant', 'relevant if-statement', 'leakage at', 'into query', 'if-statement into']"
7,8,17,3,if-statement attending and attended to differently,"['to differently', 'if-statement attending', 'and attended', 'attending and', 'attended to']"
7,8,17,3,now irrelevant fact acting the same as other irrelevant parts of input,"['relevant part', 'other irrelevant', 'of input', 'fact acting', 'as other', 'same as', 'now irrelevant', 'the same', 'irrelevant fact', 'parts of', 'irrelevant parts', 'relevant fact', 'acting the']"
7,8,17,3,leakage at relevant if-statement into query,"['to query', 'at relevant', 'relevant if-statement', 'leakage at', 'into query', 'if-statement into']"
7,8,17,3,leakage at relevant fact into query,"['fact in', 'to query', 'at relevant', 'fact into', 'leakage at', 'into query', 'relevant fact']"
7,0,17,3,no subblocks in if-statement,"['in if-statement', 'no subblocks', 'subblocks in']"
7,6,17,3,leakage at relevant if-statement into query,"['to query', 'at relevant', 'relevant if-statement', 'leakage at', 'into query', 'if-statement into']"
7,6,17,3,leakage at relevant fact into query,"['fact in', 'to query', 'at relevant', 'fact into', 'leakage at', 'into query', 'relevant fact']"
3,0,17,3,here already clear that query fact is not in theory,"['query fact', 'clear that', 'at query', 'that query', 'is not', 'already clear', 'not in', 'fact is', 'in the', 'here already', 'in theory']"
10,4,17,3,again vertical line,"['vertical line', 'again vertical']"
3,10,17,3,less pronounced than prompt 15,"['than prompt', 'pronounced than', 'prompt 15', 'less pronounced']"
3,10,17,3,more pronounced than prompt 15,"['than prompt', 'pronounced than', 'prompt 15', 'more pronounced']"
6,1,17,3,vertical pattern shifted from relevant subject for prompt 15 to relevant subject for this query (gary) in theory,"['15 to', 'shifted from', 'relevant subject', 'pattern shifted', 'to relevant', 'prompt 15', 'vertical pattern', 'subject for', 'query (gary)', 'from relevant', '(gary) in', 'for prompt', 'this query', 'in the', 'for this', 'in theory']"
6,2,17,3,picks up on property 'cold' being relevant,"['picks up', 'up on', 'being relevant', 'on property', ""property 'cold'"", ""'cold' being""]"
6,2,17,3,less pronounced,['less pronounced']
6,3,17,3,no leakage at query property position into query region,"['position in', 'no leakage', 'query region', 'to query', 'at query', 'query property', 'position into', 'leakage at', 'into query', 'property position']"
6,4,17,3,picks up on if-statement being important,"['being important', 'picks up', 'up on', 'if-statement being', 'on if-statement']"
6,4,17,3,picks up on this fact being not as important,"['not as', 'on this', 'picks up', 'as important', 'up on', 'this fact', 'fact being', 'being not']"
6,4,17,3,cls tokens and similar (and relevant) token sequences attending to relevant query has shifted to relevant query,"['cls tokens', 'query has', 'and similar', 'to relevant', 'relevant) token', 'sequences attending', 'token sequences', '(and relevant)', 'tokens and', 'similar (and', '(and relevant', 'attending to', 'relevant query', 'has shifted', 'shifted to']"
6,5,17,3,picks up on this fact being important,"['on this', 'being important', 'picks up', 'up on', 'this fact', 'fact being']"
6,5,17,3,picks up on fact being not important compared to prompt 15,"['picks up', 'prompt 15', 'up on', 'to prompt', 'on fact', 'important compared', 'compared to', 'not important', 'fact being', 'being not']"
6,6,17,3,property has become more important,"['more important', 'become more', 'property has', 'has become']"
6,6,17,3,last dot of theory attends to subject of query,"['theory attends', 'last dot', 'of the', 'dot of', 'to subject', 'attends to', 'of theory', 'of query', 'subject of', 'theory attend']"
6,9,17,3,quiet not attending to 'is',"[""to 'is'"", 'quiet not', 'not attending', 'attending to']"
6,9,17,3,attention to subject of relevant fact is new,"['of relevant', 'is new', 'to subject', 'attention to', 'fact is', 'subject of', 'relevant fact']"
6,9,17,3,now attention to 'quiet' instead of 'then',"[""'quiet' instead"", 'attention to', 'instead of', 'now attention', ""of 'then'"", ""to 'quiet'""]"
6,10,17,3,again attention (by relevant tokens and cls tokens) to property of consequence (which is relevant),"['cls tokens', '(by relevant', 'by relevant', 'and cls', 'of consequence', 'is relevant)', 'again attention', 'attention (by', 'relevant tokens', '(which is', 'tokens and', 'to property', 'cls tokens)', 'property of', 'consequence (which', 'tokens) to']"
6,10,17,3,this pattern shifted from relevant fact for prompt 15 to relevant fact for this prompt,"['15 to', 'shifted from', 'pattern shifted', 'fact for', 'to relevant', 'prompt 15', 'this pattern', 'this prompt', 'from relevant', 'for prompt', 'for this', 'relevant fact']"
6,10,17,3,almost no attention in if-statement,"['attention in', 'no attention', 'in if-statement', 'almost no']"
6,0,17,3,shifted compared to prompt 15 to relevant fact => picks up on relevant subject,"['15 to', 'on relevant', 'relevant subject', 'to relevant', 'fact =>', 'picks up', 'prompt 15', 'up on', 'shifted compared', 'to prompt', '=> picks', 'compared to', 'relevant fact']"
6,8,17,3,attention by relevant statements to subject of relevant fact in theory,"['statements to', 'by relevant', 'of relevant', 'fact in', 'to subject', 'relevant statements', 'attention by', 'in the', 'subject of', 'relevant fact', 'in theory']"
6,8,17,3,same property as in query in if-statement is attended to by itself and property in query,"['to by', 'query in', 'itself and', 'by itself', 'same property', 'if-statement is', 'is attended', 'property as', 'property in', 'in if-statement', 'in query', 'attended to', 'as in', 'and property']"
7,2,17,3,no block forming anymore but continuation of diagonal pattern like for other parts of theory,"['of diagonal', 'other parts', 'forming anymore', 'like for', 'block forming', 'of the', 'no block', 'of theory', 'pattern like', 'anymore but', 'continuation of', 'but continuation', 'for other', 'block form', 'diagonal pattern', 'parts of']"
7,2,17,3,again slight attention to query from if-statement,"['from if-statement', 'to query', 'attention to', 'query from', 'slight attention', 'again slight']"
7,2,17,3,attention from extra (relevant) parts to 'quiet',"['extra (relevant)', '(relevant) parts', 'attention from', ""to 'quiet'"", 'from extra', 'parts to']"
4,3,17,3,more pronounced,['more pronounced']
4,3,17,3,picks up on the property of the consequence being the same as the one of the query,"['on the', 'the property', 'the one', 'of the', 'picks up', 'up on', 'the consequence', 'consequence being', 'being the', 'same as', 'the same', 'one of', 'property of', 'as the', 'the query']"
4,3,17,3,picks up on the fact in the theory and the query having the same subject (and 'is' token) (but not the same property),"['on the', 'query having', 'same property)', 'subject (and', ""'is' token"", 'fact in', 'having the', ""and 'is'"", 'picks up', '(but not', 'the theory', 'same subject', 'and the', 'same property', ""'is' to"", 'up on', 'token) (but', ""(and 'is'"", 'not the', 'the same', 'the fact', 'in the', 'theory and', ""'is' token)"", 'the query']"
10,8,18,4,again very strong attention from relevant tokens to 'not',"['very strong', 'strong attention', 'from relevant', 'relevant tokens', 'attention from', 'again very', 'tokens to', ""to 'not'""]"
10,0,18,4,interestingly patterns to and from relevant tokens for tyupe 3 (prompt 17) have disappeared,"['tokens for', '(prompt 17)', '17) have', 'interestingly patterns', 'from relevant', 'to and', 'relevant tokens', 'and from', 'patterns to', 'prompt 17', 'for tyupe', 'tyupe 3', '3 (prompt', 'have disappeared']"
10,9,18,4,again very strong attention from relevant tokens to 'not',"['very strong', 'strong attention', 'from relevant', 'relevant tokens', 'attention from', 'again very', 'tokens to', ""to 'not'""]"
9,9,18,4,again very strong attention from relevant tokens to 'not',"['very strong', 'strong attention', 'from relevant', 'relevant tokens', 'attention from', 'again very', 'tokens to', ""to 'not'""]"
8,11,18,4,attention from relevant tokens to 'not',"['from relevant', 'relevant tokens', 'attention from', 'tokens to', ""to 'not'""]"
8,7,18,4,strong attention from relevant tokens to 'not',"['strong attention', 'from relevant', 'relevant tokens', 'attention from', 'tokens to', ""to 'not'""]"
8,8,18,4,strong attention from relevant tokens to 'not',"['strong attention', 'from relevant', 'relevant tokens', 'attention from', 'tokens to', ""to 'not'""]"
7,3,18,4,again relevant tokens attending to 'not' in query,"['in relevant', 'again relevant', 'tokens at', 'tokens attending', ""'not' in"", 'relevant tokens', 'tokens attend', 'in query', 'attending to', ""to 'not'""]"
8,4,18,4,not attending to relevant subject in fact in theory,"['relevant subject', 'fact in', 'to relevant', 'subject in', 'not attending', 'attending to', 'in the', 'in fact', 'in theory']"
8,0,18,4,no leakage form relevant tokens into query region anymore (except for attending to 'not' token),"['no leakage', 'for attending', 'anymore (except', 'query region', 'form relevant', 'to query', 'tokens into', 'tokens in', '(except for', 'region anymore', 'leakage form', 'except for', 'relevant tokens', 'attending to', 'into query', ""'not' token)"", ""to 'not'""]"
8,0,18,4,if-statement attends and is attended to way less,"['way less', 'statement attends', 'attends and', 'to way', 'is attended', 'if-statement attends', 'and is', 'attended to']"
7,1,18,4,again relevant tokens attending to 'not' in query,"['in relevant', 'again relevant', 'tokens at', 'tokens attending', ""'not' in"", 'relevant tokens', 'tokens attend', 'in query', 'attending to', ""to 'not'""]"
7,4,18,4,again relevant tokens attending to 'not' in query,"['in relevant', 'again relevant', 'tokens at', 'tokens attending', ""'not' in"", 'relevant tokens', 'tokens attend', 'in query', 'attending to', ""to 'not'""]"
7,5,18,4,again relevant tokens attending to 'not' in query,"['in relevant', 'again relevant', 'tokens at', 'tokens attending', ""'not' in"", 'relevant tokens', 'tokens attend', 'in query', 'attending to', ""to 'not'""]"
7,7,18,4,also not attending strongly to some relevant tokens itself,"['also not', 'to some', 'relevant tokens', 'not attending', 'tokens itself', 'strongly to', 'some relevant', 'attending strongly']"
7,7,18,4,again relevant tokens attending to 'not' in query,"['in relevant', 'again relevant', 'tokens at', 'tokens attending', ""'not' in"", 'relevant tokens', 'tokens attend', 'in query', 'attending to', ""to 'not'""]"
7,0,18,4,again relevant tokens attending to 'not' in query,"['in relevant', 'again relevant', 'tokens at', 'tokens attending', ""'not' in"", 'relevant tokens', 'tokens attend', 'in query', 'attending to', ""to 'not'""]"
7,9,18,4,again relevant tokens attending to 'not' in query,"['in relevant', 'again relevant', 'tokens at', 'tokens attending', ""'not' in"", 'relevant tokens', 'tokens attend', 'in query', 'attending to', ""to 'not'""]"
7,11,18,4,'not' attends to subject,"['to subject', 'attends to', ""'not' attends""]"
7,6,18,4,again relevant tokens attending to 'not' in query,"['in relevant', 'again relevant', 'tokens at', 'tokens attending', ""'not' in"", 'relevant tokens', 'tokens attend', 'in query', 'attending to', ""to 'not'""]"
3,9,18,4,not attends together with other first tokens of query to property of query,"['other first', 'query to', 'tokens of', 'together with', 'with other', 'attends to', 'first tokens', 'not attends', 'to property', 'attends together', 'of query', 'property of']"
3,11,18,4,similarly as in prompt 17 tokens of query after subject attends to subject (now thus including 'not'),"['tokens of', 'subject (now', '17 tokens', ""including 'not')"", 'to subject', 'attends to', 'after subject', 'thus including', 'in prompt', '(now thus', 'similarly as', 'subject attends', 'prompt 17', 'of query', 'query after', 'as in']"
3,0,18,4,does not seem to take notion of  'not' except here,"['except here', 'not seem', 'to take', 'take notion', 'does not', 'notion of', ""'not' except"", 'seem to']"
3,5,18,4,property attends strongly to 'not' (which negates that property),"['property attends', 'attends strongly', 'property at', 'negates that', ""'not' (which"", 'property attend', '(which negates', 'that property)', ""to 'not'"", 'strongly to']"
3,6,18,4,-  again not more important than 'is' but less so than the subjext and property,"['the subjext', 'not more', 'more important', 'subjext and', 'again no', 'than the', 'important than', 'but less', 'in no', ""'is' but"", 'so than', 'again not', 'and property', ""than 'is'"", 'less so']"
3,6,18,4,interestingly attends to 'if',"['attends to', ""to 'if'"", 'interestingly attends']"
7,10,18,4,again relevant tokens attending to 'not' in query,"['in relevant', 'again relevant', 'tokens at', 'tokens attending', ""'not' in"", 'relevant tokens', 'tokens attend', 'in query', 'attending to', ""to 'not'""]"
3,10,18,4,property also attends to not,"['also attends', 'to not', 'attends to', 'property also', 'to no']"
3,10,18,4,again not attends to its property,"['its property', 'to its', 'again no', 'attends to', 'in no', 'not attends', 'again not']"
6,3,18,4,once more query property attends to not,"['more query', 'property attends', 'once more', 'to not', 'attends to', 'property at', 'to no', 'property attend', 'query property']"
6,4,18,4,last dot of theory and dot of query attend to 'not',"['last dot', 'of the', 'dot of', 'of theory', 'and dot', 'query attend', 'of query', 'attend to', ""to 'not'"", 'theory and']"
6,5,18,4,cls tokens and two dots attend to 'not',"['cls tokens', 'and two', 'two dots', 'dots attend', 'tokens and', 'attend to', ""to 'not'""]"
6,6,18,4,slight relevant attentions to 'not',"['slight relevant', 'relevant attentions', 'relevant attention', ""to 'not'"", 'attentions to']"
6,7,18,4,slight relevant attention to 'not',"['slight relevant', 'attention to', 'relevant attention', ""to 'not'""]"
6,9,18,4,not attending to relevant tokens,"['to relevant', 'relevant tokens', 'not attending', 'attending to']"
6,8,18,4,again slight relevant attentions to 'not',"['slight relevant', 'relevant attentions', 'relevant attention', 'again slight', ""to 'not'"", 'attentions to']"
