"Layer","Head","Prompt","Input_Type","Comment"
6,9,18,4,"once more property of query attending to 'not', which refers to property"
6,11,18,4,"big and important difference: 'is' and 'not' attend strongly to subject of query, and now also again property of query attending strongly to 'not' once more"
7,0,18,4,"again relevant tokens attending to 'not' in query"
7,1,18,4,"again relevant tokens attending to 'not' in query"
7,3,18,4,"again relevant tokens attending to 'not' in query"
7,4,18,4,"again relevant tokens attending to 'not' in query"
7,5,18,4,"again relevant tokens attending to 'not' in query"
7,6,18,4,"again relevant tokens attending to 'not' in query"
7,7,18,4,"also not attending strongly to some relevant tokens itself"
7,7,18,4,"again relevant tokens attending to 'not' in query"
7,9,18,4,"again relevant tokens attending to 'not' in query"
7,10,18,4,"again relevant tokens attending to 'not' in query"
7,11,18,4,"'not' attends to subject"
8,0,18,4,"no leakage form relevant tokens into query region anymore (except for attending to 'not' token)"
8,0,18,4,"if-statement attends and is attended to way less"
8,0,18,4,"very strong attention from relevant tokens to 'not', at the expense of other attentions, some patterns have disappeared"
8,4,18,4,"not attending to relevant subject in fact in theory"
8,5,18,4,"very strong attention from relevant tokens to 'not', at the expense of other attentions, some patterns have disappeared"
8,7,18,4,"strong attention from relevant tokens to 'not'"
8,8,18,4,"strong attention from relevant tokens to 'not'"
8,9,18,4,"very strong attention from relevant tokens to 'not', at the expense of other attentions, some patterns have disappeared (most likely a good sign)"
8,11,18,4,"attention from relevant tokens to 'not'"
9,0,18,4,"again very strong attention from relevant tokens to 'not', at the expense of other attentions, some patterns have disappeared (most likely a good sign)"
9,1,18,4,"very strong attention from relevant tokens to 'not', at the expense of other attentions, some patterns have disappeared (most likely a good sign)"
9,2,18,4,"again, even though now attention only really weak from relevant tokens to 'not', still at the expense of other attentions, some patterns have disappeared (most likely a good sign)"
9,3,18,4,"again strong attention from relevant tokens to 'not', at the expense of other attentions, some patterns have disappeared (most likely a good sign)"
9,4,18,4,"again very strong attention from relevant tokens to 'not', at the expense of other attentions, some patterns have disappeared (most likely a good sign)"
9,5,18,4,"again very strong attention from relevant tokens to 'not', at the expense of other attentions, some patterns have disappeared (most likely a good sign)"
9,6,18,4,"again very strong attention from relevant tokens to 'not', at the expense of other attentions, some patterns have disappeared (most likely a good sign)"
9,7,18,4,"again very strong attention from relevant tokens to 'not', at the expense of other attentions, some patterns have disappeared (most likely a good sign)"
9,8,18,4,"interestingly here also relatively strong attention of relevant statements for type 3 (proving the contrary to the query here)  to 'not' token, but contrary to previous heads, here not at the expense of attention patterns to and from relevant statements for type 3"
9,9,18,4,"again very strong attention from relevant tokens to 'not'"
9,11,18,4,"again attention from relevant tokens to 'not' albeit slightly, definitely compared to previous heads in this layer and layer 8"
10,0,18,4,"again attention from relevant tokens to 'not' albeit slightly, definitely compared to previous heads in this layer 9 and layer 8"
10,0,18,4,"interestingly patterns to and from relevant tokens for tyupe 3 (prompt 17) have disappeared"
10,1,18,4,"again very strong attention from relevant tokens to 'not', at the expense of other attentions, some patterns have disappeared (most likely a good sign)"
10,3,18,4,"again patterns to and from relevant tokens as present in prompt 17 (type 3) have disappeared, but this time no attention to 'not' token in query"
10,5,18,4,"interestingly here also relatively strong attention of relevant statements for type 3 (proving the contrary to the query here) to 'not' token, but contrary to previous heads, here not at the expense of attention patterns to and from relevant statements for type 3"
10,8,18,4,"again very strong attention from relevant tokens to 'not'"
10,9,18,4,"again very strong attention from relevant tokens to 'not'"
10,9,18,4,"resulting in less strong attention patterns as compared to promtp 17, but these pattersn ahve not completely disappeared"
10,10,18,4,"again very strong attention from relevant tokens to 'not', at the expense of other attentions, some patterns have disappeared (most likely a good sign)"
